InvoiceName,Query,AccountID
3.jpg,"L'achat concerne des fournitures pour l'exercice d'une activité artisanale.
Fournitures de bureau
Atelier poterie
Poterie, Atelier",6126
49.jpg,"L'achat concerne les fournitures d'eau et d'assainissement pour l'entreprise. Il s'agit donc d'une dépense courante.
335 - Fournitures d'eau et assainissement
Fournitures de services publics
Eau et assainissement",6125
57.jpg,"L'abonnement annuel au nom de domaine smartcall.ma représente une opération de services liée à la maintenance et à l'hébergement du site web, nécessitant un paiement régulier pour des raisons de sécurité, d'intégrité et de disponibilité.
Services de nom de domaine
Prestations de services
Nom de domaine, Abonnement annuel",6126
58.jpg,"L'entreprise a acheté des papiers de nettoyage et d'hygiène, notamment du papier zig-zag HYG Q23*, du papier essuie-main Q23* et du papier jumbo HYG MO23*. Il s'agit probablement de fournitures utilisées pour le nettoyage et l'entretien des locaux.
Fournitures de nettoyage
Fournitures de nettoyage et d'hygiène
PAPIER, NETTOYAGE, HYGIENE",6122
61.jpg,"L'achat concerne des articles d\u00b7aménagement et de décoration tels que la table de réunion en blanc 180*90CM, ce qui suggère une immobilisation ou un investissement dans le mobilier de l\u00b2entreprise. Il n'y a pas d'informations sur les quantités ou les prix des articles.
Fournitures de bureau
Fournitures de bureau
TABLE DE REUNION EN BLANC, Fournitures de bureau",2351
66.jpg,"L'achat concerne divers articles de papeterie, dont des BLOCPOST-IT, des cartouches d'imprimante et des chemises. Il s'agit d'une immobilisation.
210 - Fournitures de bureau
Papeterie / Fournitures de bureau
BLOCPOST-IT, Cartouche, Chemise",6122
67.jpg,"L'achat concerne des fournitures de bureau destinées à être utilisées dans les opérations de l'entreprise. Il s'agit donc d'une dépense courante.

Fournitures de bureau
Boîte Élagance, Boîte Valise Écrue, Ruban Satin, Ficelle de Jute, Toile de Jute",6123
76.jpg,"L'achat concerne un accessoire informatique destiné à être utilisé pour la navigation sur ordinateur. Il s'agit donc d'une immobilisation.
215 - Matériel informatique
Matériel informatique
Souris optique, Ordinateur",2355
109.jpg,"
La présente facture concerne un service de recrutement pour une durée de 1 mois, avec un montant total HT de 1750,00 DH et une TVA de 350,00 DH. Le montant NET TTC est de 2100,00 DH.
Service de recrutement
Prestations de services
recrutement annonces
",6126
114.jpg,"Cette facture concerne des services de transport aérien (basic service fee, TVA) et d'hébergement dans deux hôtels différentes. Il s'agit donc d'une transaction liée à l'activité de voyage.
Services de voyage
Services de transport et d'hébergement
transport aérien, hébergement, billet",6126
121.jpg,"L'achat concerne du matériel informatique destiné à être utilisé pour la sécurité et la surveillance des installations. Il s'agit donc d'une immobilisation.


",2355
129.jpg,"L'entreprise a commandé diverses fournitures de bureau, notamment des tables de travail, des chaises, des étagères et d'autres meubles. La transaction comprend également un montant total HT (hors taxes) de 7 246,3 DH et un total TTC (toutes taxes comprises) de 8 695,6 DH.
Achats de fournitures de bureau
Fournitures de bureau
fournitures de bureau, table de travail, chaise, étagère, etc.",2351
